chat_id,exec_run_id,ping_id,ping_type,replied,control_replied,window_min
S04,cb1fca0922594f4ba6bd46d3982dc589,344,hs3_proactive,0,0.0,15
S04,b6598f788a9d424b928d8f9a1f1ccc36,468,hs3_proactive,0,0.0,15
S04,3471fa80302344f3bf7da0d283f2246e,628,hs3_proactive,0,0.0,15
S05,5b99e872377a41f09ad3b2a0b795c18b,41,hs3_proactive,0,0.0,15
S05,5b99e872377a41f09ad3b2a0b795c18b,50,hs3_proactive,0,0.0,15
S05,5b99e872377a41f09ad3b2a0b795c18b,58,hs3_proactive,0,0.0,15
S05,c7f32d254fed4f6a8d39d08a487bccfc,239,hs3_proactive,1,0.0,15
S05,cb1fca0922594f4ba6bd46d3982dc589,304,hs3_proactive,0,0.0,15
S05,cb1fca0922594f4ba6bd46d3982dc589,340,hs3_proactive,0,0.0,15
S05,b6598f788a9d424b928d8f9a1f1ccc36,469,hs3_proactive,0,0.0,15
S05,3471fa80302344f3bf7da0d283f2246e,629,hs3_proactive,0,0.0,15
S06,5b99e872377a41f09ad3b2a0b795c18b,46,hs3_proactive,0,0.0,15
S06,5b99e872377a41f09ad3b2a0b795c18b,56,hs3_proactive,0,1.0,15
S06,5b99e872377a41f09ad3b2a0b795c18b,64,hs3_proactive,1,0.0,15
S06,c7f32d254fed4f6a8d39d08a487bccfc,244,hs3_proactive,0,0.0,15
S06,cb1fca0922594f4ba6bd46d3982dc589,309,hs3_proactive,1,0.0,15
S06,cb1fca0922594f4ba6bd46d3982dc589,346,hs3_proactive,0,0.0,15
S06,b6598f788a9d424b928d8f9a1f1ccc36,434,hs2_entry,0,0.0,15
S06,b6598f788a9d424b928d8f9a1f1ccc36,443,hs2_entry,0,0.0,15
S06,b6598f788a9d424b928d8f9a1f1ccc36,460,hs2_entry,0,0.0,15
S06,b6598f788a9d424b928d8f9a1f1ccc36,466,hs3_proactive,0,0.0,15
S06,928e8a5fae93491f9eff4bb5305132db,504,hs2_entry,0,1.0,15
S06,928e8a5fae93491f9eff4bb5305132db,549,hs2_entry,1,0.0,15
S06,928e8a5fae93491f9eff4bb5305132db,557,hs2_entry,0,0.0,15
S06,928e8a5fae93491f9eff4bb5305132db,565,hs2_entry,0,0.0,15
S06,928e8a5fae93491f9eff4bb5305132db,593,hs2_entry,1,0.0,15
S06,3471fa80302344f3bf7da0d283f2246e,607,hs2_entry,1,0.0,15
S06,3471fa80302344f3bf7da0d283f2246e,615,hs2_entry,1,0.0,15
S06,3471fa80302344f3bf7da0d283f2246e,627,hs3_proactive,0,0.0,15
S06,3471fa80302344f3bf7da0d283f2246e,665,hs2_entry,0,0.0,15
S06,3471fa80302344f3bf7da0d283f2246e,671,hs2_entry,0,0.0,15
S06,02d6ec4288c846cb869f00e3dac804c6,677,hs2_entry,0,0.0,15
S06,02d6ec4288c846cb869f00e3dac804c6,685,hs2_entry,0,0.0,15
